days mag
4.671910000033677 9.192
0.6784500000067055 9.589
0.6683699996210635 9.815
8.979139999952167 9.632
9.617169999983162 9.675
4.8091899999417365 9.224
3.9319899999536574 9.407
0.19446999952197075 9.759
7.527329999953508 9.471
8.546870000194758 9.766
5.8675400000065565 9.201
9.640199999790639 9.809
7.028859999962151 9.485
6.587650000117719 9.405
8.90679999999702 9.65
2.0884099998511374 9.702
2.192180000245571 9.744
1.8306100000627339 9.878
8.379929999820888 9.529
5.3620399995706975 9.168
8.10674999980256 9.505
5.769779999740422 9.374
6.1504800003021955 9.407
5.62142000021413 9.257
6.9647400001995265 9.611
1.2887599999085069 9.746
5.805980000179261 9.414
2.398369999602437 9.635
7.643960000015795 9.447
6.564379999879748 9.526
1.893429999705404 10.226
8.795990000013262 9.573
6.889039999805391 9.438
2.493310000281781 9.581
4.601590000092983 9.207
5.709619999863207 9.31
2.6518200002610683 9.541
8.69708999991417 9.739
6.204390000086278 9.167
8.418769999872893 9.691
3.6040199999697506 9.277
9.497259999625385 9.7
4.30727000022307 9.306
3.537699999753386 9.363
7.760489999782294 9.695
3.065319999586791 9.419
8.514119999483228 9.505
5.864619999658316 9.229
7.374369999859482 9.735
2.5334100001491606 9.579
1.6919599999673665 9.578
6.676440000068396 9.246
3.493490000255406 9.495
7.046659999992698 9.675
4.873869999777526 9.274
0.11385999992489815 10.179
1.985080000013113 9.781
7.2980599999427795 9.63
0.5243299994617701 9.598
5.682239999994636 9.122
9.190969999879599 9.793
2.9813899998553097 9.427
6.901500000152737 9.413
5.0598100000061095 9.271
5.901319999713451 9.377
7.869589999783784 9.687
2.394999999552965 9.612
6.365079999901354 9.388
4.66061000013724 9.68
8.298719999846071 9.609
3.879029999487102 9.562
0.6743700001388788 9.767
7.631779999937862 10.039
0.35503000020980835 9.764
3.5739099998027086 9.378
4.355559999588877 9.264
0.8606999996118248 9.658
9.90944999968633 9.871
1.8938199998810887 9.577
6.484309999737889 9.341
2.85598999960348 9.509
5.0027000000700355 9.245
6.565100000239909 9.375
9.293450000230223 9.908
9.027329999953508 9.566
1.046949999872595 9.779
5.194659999571741 9.311
7.637060000095516 9.937
2.7726999996230006 9.517
9.099950000178069 9.634
4.386299999896437 9.324
1.6755599998869002 9.588
5.977709999773651 9.262
9.175099999643862 9.717
4.214649999979883 9.2
9.5039800000377 9.636
4.1042799996212125 9.32
6.329409999772906 9.501
2.7093199999071658 9.485
1.3280699998140335 9.663
0.4411799996159971 10.61
5.997519999742508 9.325
6.113789999857545 9.702
