star A1 T0 m0 phi1 A2 phi2 A1err T0err m0err phi1err A2err phi2err 
ct_cas 0.24210019400237875 3.810595306205511 12.27646398084451 0.6454230702058976 0.07665374891110069 1.8413702305696852e-06 0.04174222009303134 0.008863340735943238 0.005147704020976459 229.98979038845755 0.10914310457116613 689.9349661555922

ry_cas 0.32982087580400715 12.13992316320395 10.081026222918508 4.750231519962742 0.026870309068532005 6.283185307179585 0.01106360367602575 0.05381426865973512 0.0034545639149403382 137.5820240409419 0.01016008471756872 412.69370605419033

dl_cas 0.2913333539100331 8.001074088370522 9.106800739410797 7.485390003664492e-31 0.029571170564600194 6.283185307179585 0.009496154695388063 0.012812063673940225 0.0036100482172732005 75.40937697532978 0.00858612281422969 226.1635159423445

bm_per 0.31582401853766057 22.950074323638457 10.27683327931541 1.4068910375038453 0.11555805311666015 5.806816379054405e-13 0.034281318116073746 0.2617871753315721 0.0387701059893015 187.2757455661333 0.027488083501924204 561.8125425092484

hq_per 0.2984575171290596 8.638066436334531 11.777845054419425 5.62598189371792e-13 0.09157455714161798 1.8447601223834809 0.00856426282516331 0.012484835920174926 0.0048263947388300895 63.025639634281454 0.02430172575885479 189.1908455279003

sy_aur 0.31395759721670263 10.145320904771605 9.272858253759255 2.397810453618419 0.05454481637818609 6.28318530134031 0.01013077046788517 0.013343573287935171 0.005251289495877285 48.868816499880054 0.01071048166369986 146.6081626265761

bk_aur 0.0395766082204133 8.003078909585527 9.611821314726608 5.258990178409357 0.24088518624543692 6.283185306978407 0.03139992583406919 0.005524723037629147 0.004138653216159183 33.577085577852216 0.08441982807293558 97.49883028342195

co_aur 0.1174032916280703 1.7830192512704734 7.869485607593721 5.621033448171005e-15 0.18384007976678401 6.283185306866045 0.17724304396319976 0.0006632144832126934 0.022651105322191317 79.02019752321748 0.2517247648520164 235.72129608359492

cy_aur 0.40280189156148305 13.848791432915668 12.065642144459082 0.9463750932261715 0.1513277552803297 6.283185290165061 0.02239307656956097 0.04459474503159155 0.003770130851860196 87.61962507545134 0.014735944033118911 262.8596255430548

er_aur 0.21249920293442723 15.692215743297073 11.714429438950617 1.5139175680515042 0.12113694941801341 6.283185307179583 0.00609471708128883 0.031952138426858 0.0064847427994553465 48.8887170785915 0.013275299714623436 146.67756648069204

ew_aur 0.45034594357667357 2.659596344370861 13.55223114354116 3.740909777817415 0.15558862430429002 6.283184478026785 0.10502992234816988 0.002680103520127969 0.010629114492147316 142.76925818302888 0.23763801340758264 428.313810029266

fw_cas 0.16407484404750067 6.237107199636861 12.495515166988186 1.2642427595910255 0.03744702436775509 1.0226686831276091e-05 0.020821020144583487 0.026092524817410295 0.005225964085576766 252.70305990397424 0.036917010764401716 758.1629283101784

rw_cam 0.2945655630625694 16.416917985227933 8.773420400912512 2.186213378327772 0.04202940725286226 6.2831853071791635 0.02190890640230874 0.1494171243500871 0.00661862927754723 208.9419611712709 0.02342986340028421 626.6711373563652

sz_cas 0.18822599999224898 13.638875408172371 10.01912854160687 0.6656142320432572 0.06519887657343588 6.283185307178788 0.006860139737604904 0.04091142933431947 0.0031248602871915506 82.8672484664295 0.010772673834203009 248.60889083277095

yz_aur 0.44113593651471655 18.193935462428485 10.404617550053096 2.216397286593516 0.05224429774858873 1.5255619052196429e-09 0.009958851775809956 0.035536728822413044 0.005455862661899542 40.44649077847848 0.005246433355520482 121.34198789157657

rx_aur 0.18351793076830186 11.623885291201756 7.7418235313673005 2.733147345237467e-07 0.06664597462702986 3.867149926788126 0.012026323659517849 0.1159835015131033 0.009320756222263174 323.44289561792704 0.06265647497676273 970.4982298716739

ap_cas 0.12706005545533772 6.847313827170462 11.571822189932861 4.266058922618085 0.1350552364611594 6.283185307050608 0.0050546772787858464 0.003764989613833762 0.003734378436563334 30.24499125866768 0.01633163879611741 90.76211959310133

as_per 0.3267929590750148 4.972769738159509 9.887336791281674 2.2655656459892075 0.08394609005754107 6.283184733432844 0.01042463280910074 0.0038552531987171867 0.003647064932515834 58.75199598636336 0.025521482871108846 176.2880412761408

dd_cas 0.23254517994506332 9.812769645410246 10.002026766180476 1.5583940656318678 0.0050877295223259456 6.283185260400901 0.008386725381549623 0.027010449001090717 0.003511970624699609 105.67829858259104 0.0037599439692787237 316.65814572213304

gp_per 0.24432810009734118 2.041612518485021 13.822177809437074 1.891130365327591 0.4645961510356576 6.2831853068218715 0.26646778179079356 0.005690169958359652 0.016006431083950882 513.7770366224396 3.0034657610905975 1543.5689584286743

ot_per 0.4681739963387635 26.096601976208884 13.613572636912274 4.15193449648378 0.1734286227738387 6.283185307178769 0.019804297785725806 0.3101365656037697 0.02995018290870774 171.61440455073355 0.04512300036190105 514.7245594871695

