star A1 T0 m0 phi1 A2 phi2 A1err T0err m0err phi1err A2err phi2err 
ct_cas 0.24210022122505354 3.81059530621019 12.276463996117585 0.6454232777063431 0.07665372496180403 2.0323934122253248e-06 0.0418322857014113 0.008886903067245593 0.005153710404839471 230.60126937524151 0.10941541323746662 691.769058793939

ry_cas 0.3298208726298187 12.139923163213949 10.081026222081979 4.750231552405174 0.026870307956305097 6.283185307179541 0.011052059934272482 0.053742392011459486 0.003450589531152051 137.3982528966821 0.010144601056075998 412.14267145096346

dl_cas 0.3238965614201555 8.001326582225527 9.053992396998598 1.558170635327308 0.07548483235451414 6.283185302367487 0.01924061982816314 0.024362374262485786 0.003419562537046383 143.37508036207132 0.03347437327925186 430.110799883936

bm_per 0.3158239109160885 22.950074323711966 10.276833418443463 1.406890622305482 0.11555800420917157 6.05287993290821e-13 0.0343768175382451 0.26180725710236125 0.03882895527769386 187.2910043955813 0.02757582949221408 561.8564979718216

hq_per 0.2984575177691851 8.638066436333856 11.777845054780988 3.9721352376862503e-13 0.09157455681490635 1.8447601044222801 0.008578529705372793 0.012500598143166624 0.004831813517806739 63.10520519607875 0.024339060250998443 189.4296006980742

sy_aur 0.28192000275771667 10.144878312679143 9.282593819872957 0.6881354239321117 0.0565563653775908 2.487329451894304e-09 0.009752010153702953 0.019215109162743393 0.005510482477887628 70.3654662654365 0.011015500529502528 211.12213424731476

bk_aur 0.6524303300465503 8.002724803180758 9.60082270798097 5.216735709148612 0.8524284382145504 8.14869043506761e-15 0.09451668236595438 0.002345117461079586 0.004679184265299972 13.794705403133161 0.08433330709672678 41.394195458789824

#co_aur 0.15744182003850477 1.7830191020321384 7.848558425542922 0.32838530493523543 0.17540987459262336 6.047794746967167 0.026454265564518135 2.969606553627997e-07 0.012124536841510498 0.013642565252628568 0.01919463071923341 0.004533478387901893

cy_aur 0.4023203684711623 13.848790927760337 12.065287394059181 0.9460156788288894 0.15107062318564773 6.283184997242107 0.022864334652870966 0.04606861714334836 0.0037930581917445722 90.51547309966158 0.014905782549150353 271.5473071805162

er_aur 0.2116191831913382 15.691197212746584 11.71239772821509 3.0835427219458254e-08 0.12955261515559383 1.6706553605614147 0.007068223582445168 0.0555853652988358 0.006899763908092153 85.05435631866939 0.016050235249925257 255.16035049706443

ew_aur 0.4503459930670572 2.6595963443055464 13.55223113258004 3.740906281210388 0.15558869134002645 6.283174297424481 0.10506118071079663 0.002681039869738652 0.01063066991166591 142.8190068560601 0.2377177935198614 428.4627021921381

fw_cas 0.17638625261730664 6.237327739263035 12.484111046350055 3.4429603841540692 0.05527169979597889 6.283182781601062 0.05996471542819245 0.05362960116499116 0.005854069488672119 519.3661122488926 0.12960567652329585 1558.1023023150299

rw_cam 0.2255547046742146 16.41534145257095 8.872479547215981 0.11514864974851662 0.11060364559420849 3.842613399706552e-11 0.028258280387013907 0.1922568597593648 0.017225247109807208 268.88419564448714 0.04079799116288393 806.4862089321458

sz_cas 0.18822599759055372 13.638875408178196 10.019128543557084 0.6656142671256708 0.06519888052389239 6.283185307149844 0.006857496493291773 0.04091503303768489 0.00312488262926314 82.87454388782118 0.01077299035193176 248.63073672916528

yz_aur 0.4476075503979566 18.1939518934504 10.39979471184867 2.2328978955751833 0.05353006280898498 5.428897662008856e-12 0.010175398608318564 0.035634685025578344 0.005608737145503144 40.560438252142234 0.005495929456916636 121.67579291742692

rx_aur 0.16913945313766468 11.623897908432852 7.7771707777856856 3.1244070802943486e-07 0.043740946337055366 2.5161329087290003 0.031677621659168265 0.9144756353466068 0.012767205578592844 2550.8744993278065 0.28917210375432756 7650.4521417833585

ap_cas 0.13203589182062472 6.847311383065487 11.567507433712997 4.20612347426581 0.13495269537310728 6.283185009428981 0.0057172288896236425 0.0064623758276646775 0.003737600467309085 51.91782234841602 0.026669843202222886 155.77849285226836

as_per 0.27075860789574085 4.972621854093787 9.843988507223946 5.002868595103482e-14 0.13067303941490563 6.283185307179518 0.010752889194221182 0.0035878500180716506 0.0074118985544063 54.679894753626975 0.039771615898386375 164.079950590827

dd_cas 0.2325451759023503 9.812769645975871 10.002026776001216 1.5583962640276836 0.005087733531270456 6.28318529787077 0.008388879523641285 0.02703921880715171 0.0035122701091488233 105.82414266255014 0.003756898037483496 316.99503561691114

gp_per 0.24432808663416636 2.0416125182938782 13.822177810639992 1.8911130665320732 0.46459618244686185 6.283133455286926 0.2657844874138282 0.00567540233021358 0.015988006407326907 512.4388939554854 2.9957435722397223 1539.550251958797

#ot_per 0.46414991480658974 26.0928006386177 13.59701501827136 2.0091815265290918 0.179004307935716 6.2831852792576335 0.025273437690547997 0.6517171096731633 0.1307456727647281 360.96767578636855 0.06041939846825934 1081.799593908599

