days mag
4.503200000151992 13.595
0.5518600000068545 13.604
2.3642699997872114 13.691
1.3668400002643466 13.407
2.289799999911338 13.694
3.2728300001472235 13.43
0.386739999987185 13.818
6.477180000394583 13.271
4.238789999857545 13.496
4.249760000035167 13.492
7.473529999610037 13.702
3.282520000357181 13.343
5.427629999816418 13.822
1.5589000000618398 13.473
7.4594299998134375 13.719
4.5139200002886355 13.583
3.4805600000545382 13.024
6.558509999886155 13.3
6.289890000130981 13.126
1.5648700003512204 13.47
3.4859199998900294 13.042
1.605659999884665 13.502
5.400220000185072 13.785
7.51535000000149 13.692
4.51499000005424 13.569
5.2412999998778105 13.749
4.401759999804199 13.545
6.324989999644458 13.167
2.4830000000074506 13.734
7.322969999630004 13.66
6.311089999973774 13.149
0.522679999936372 13.701
2.4019900001585484 13.721
0.5413099997676909 13.672
1.3207299998030066 13.376
6.283590000122786 13.128
1.2488899999298155 13.329
1.5397600000724196 13.47
3.5293399998918176 13.034
6.468239999841899 13.26
5.400609999895096 13.795
5.4321399996988475 13.788
6.5065000001341105 13.261
7.296730000060052 13.628
1.5162699995562434 13.454
6.193159999791533 13.114
1.3990199998952448 13.399
1.4706399999558926 13.454
2.4117499999701977 13.732
6.2082899999804795 13.104
0.501579999923706 13.671
6.477919999975711 13.254
1.491270000115037 13.435
0.4679900002665818 13.752
7.376870000269264 13.677
2.498260000254959 13.726
4.245199999772012 13.495
0.3628599997609854 13.815
4.479659999720752 13.586
0.28639999963343143 13.81
6.54588000010699 13.316
3.3417399995960295 13.27
7.381080000195652 13.658
7.232829999644309 13.604
1.2267799996770918 13.312
2.442090000025928 13.748
3.3037799997255206 13.346
0.5636200001463294 13.611
2.274910000152886 13.714
7.387390000279993 13.649
3.51518000010401 13.038
7.535989999771118 13.687
4.5293499999679625 13.598
6.3342599999159575 13.181
0.4830100000835955 13.685
3.4371699998155236 13.072
2.492940000258386 13.753
5.550679999869317 13.853
2.529860000126064 13.775
3.3651700001209974 13.124
0.29051999980583787 13.855
6.315340000204742 13.171
2.5604300000704825 13.8
1.575050000101328 13.492
6.30053999973461 13.108
7.2713099997490644 13.604
3.239930000156164 13.489
7.537849999964237 13.708
4.550139999948442 13.593
4.388250000309199 13.571
7.240190000273287 13.633
2.476409999653697 13.733
1.2195499995723367 13.321
4.193940000142902 13.487
3.400940000079572 13.009
4.357090000063181 13.549
4.381619999650866 13.544
3.520380000118166 13.054
7.4785899999551475 13.667
5.284640000201762 13.778
4.505650000181049 13.607
7.231500000227243 13.621
1.3213900001719594 13.358
3.4566299999132752 13.044
7.3078800002112985 13.621
3.516980000305921 13.038
3.5446099997498095 13.046
1.459670000243932 13.461
6.493619999848306 13.307
6.2594900000840425 13.121
3.315960000269115 13.355
4.386359999887645 13.55
0.5125800003297627 13.649
6.524989999830723 13.276
5.459210000000894 13.812
0.46836999990046024 13.688
4.43299000011757 13.577
3.5097699998877943 13.035
1.3560600001364946 13.396
1.4716199999675155 13.456
5.511840000282973 13.838
1.464159999974072 13.436
1.1905899997800589 13.303
5.470710000023246 13.829
7.439319999888539 13.697
7.298249999992549 13.655
5.236319999676198 13.741
2.2560499999672174 13.707
1.3707200000062585 13.38
5.438709999900311 13.805
2.5325400000438094 13.737
4.564989999867976 13.619
2.445900000166148 13.756
0.3770900000818074 13.822
4.470839999616146 13.595
6.268619999755174 13.104
4.4013399998657405 13.564
6.232360000256449 13.093
2.3665100000798702 13.732
3.527529999613762 13.05
5.494950000196695 13.814
0.3703299998305738 13.77
4.4517600000835955 13.594
0.541860000230372 13.617
0.5611499999649823 13.621
5.278039999771863 13.758
1.54297999991104 13.47
7.427869999781251 13.679
2.454030000139028 13.718
5.423099999781698 13.807
1.3792699999175966 13.372
7.188970000017434 13.632
4.482439999934286 13.557
7.473350000102073 13.674
0.3188400003127754 13.84
7.471539999824017 13.675
1.5405299998819828 13.458
0.1985700000077486 13.865
5.461949999909848 13.823
1.5188499996438622 13.453
6.236019999720156 13.08
7.3504099999554455 13.626
3.3551599998027086 13.232
0.49108999967575073 13.695
