days mag
0.8921500002034009 11.514
4.6110200001858175 11.883
2.5690700002014637 11.665
0.05609000055119395 11.493
1.5924000004306436 11.578
0.6358500001952052 11.515
6.677210000343621 11.503
5.012360000051558 11.868
3.5495900004170835 11.781
7.997990000061691 11.438
6.8932400001212955 11.445
4.224810000043362 11.87
7.481840000022203 11.419
5.308480000123382 11.816
7.092020000331104 11.425
2.9231700003147125 11.722
8.476250000298023 11.501
5.882900000549853 11.682
2.222380000166595 11.649
4.0917800003662705 11.853
3.861600000411272 11.853
7.183970000129193 11.418
8.585460000205785 11.503
5.226600000169128 11.81
8.208360000047833 11.462
5.600600000005215 11.724
3.510699999984354 11.796
4.840559999924153 11.89
3.575639999937266 11.787
3.9911299999803305 11.848
3.1749100000597537 11.749
8.484580000396818 11.503
6.405790000222623 11.57
2.679760000202805 11.685
2.395930000115186 11.665
2.8652900005690753 11.719
5.848810000345111 11.66
5.981320000253618 11.661
6.943219999782741 11.443
1.962749999947846 11.609
8.142959999851882 11.468
8.031830000225455 11.471
7.36415999988094 11.425
6.312050000298768 11.573
3.6655000001192093 11.792
5.408960000611842 11.78
8.134150000289083 11.453
3.7493400000967085 11.823
5.140290000475943 11.812
6.148340000305325 11.585
3.0517100002616644 11.739
7.44351000059396 11.442
5.664210000541061 11.713
0.37863999977707863 11.486
2.673750000540167 11.67
7.038819999899715 11.452
4.832849999889731 11.871
4.031469999812543 11.845
2.6810099999420345 11.671
5.5067800004035234 11.772
5.828220000024885 11.679
7.726100000087172 11.45
3.3875899999402463 11.758
2.8530800002627075 11.729
8.054250000044703 11.46
8.597080000210553 11.5
2.308190000243485 11.66
7.88156000059098 11.453
3.505189999938011 11.781
4.003780000377446 11.823
7.659140000119805 11.41
2.008230000268668 11.622
0.7199400002136827 11.5
6.1157900001853704 11.606
7.022249999921769 11.414
2.5768300001509488 11.68
6.199940000195056 11.599
7.660380000248551 11.411
3.2287800000049174 11.764
1.528429999947548 11.581
3.657860000152141 11.821
3.7244600001722574 11.818
8.154879999812692 11.468
0.36182000022381544 11.488
