days mag
3.367420000489801 10.072
3.126440000254661 10.128
2.512660000473261 9.981
8.639430000446737 9.69
0.18217000039294362 9.684
9.465880000032485 9.645
0.9016200001351535 9.764
9.29270000057295 9.632
5.002360000275075 10.248
3.316380000207573 10.06
1.7387400004081428 9.762
3.1994799999520183 10.036
6.27784000011161 9.93
4.151610000059009 10.281
3.7686900002881885 10.152
0.21323000034317374 9.651
0.826380000449717 9.806
0.08695999998599291 9.611
6.868480000179261 9.909
8.890820000320673 9.626
2.6041200002655387 9.934
2.221230000257492 10.451
1.193669999949634 9.782
5.886670000385493 10.038
9.168120000511408 9.587
6.526270000264049 9.866
1.5138700003735721 9.968
1.942100000102073 9.92
2.785530000459403 10.019
5.914460000582039 10.012
3.2469700002111495 10.091
8.154520000331104 9.836
9.19986000051722 9.626
9.052690000273287 9.617
1.3694000001996756 9.746
5.963620000518858 9.934
4.0013900003395975 10.158
3.4302900000475347 10.001
5.263240000233054 10.096
8.535090000368655 9.746
4.879650000482798 10.12
8.72072000009939 9.668
5.266880000475794 10.098
2.6339700003154576 10.033
4.886310000438243 10.153
0.5470100003294647 10.136
9.583320000208914 9.732
4.727930000517517 10.144
3.6480100001208484 10.148
3.7388800005428493 10.081
0.8909800006076694 9.722
6.438360000029206 9.947
9.26103000016883 9.788
8.537210000213236 9.802
8.372070000041276 9.827
5.914980000350624 10.06
5.066570000257343 10.224
2.5664200000464916 9.98
0.8871700000017881 9.718
7.3662400003522635 9.808
5.303220000118017 10.881
4.677430000156164 10.196
8.096050000283867 9.792
1.8890000004321337 9.891
3.970870000310242 10.203
1.4712000004947186 9.779
7.339610000140965 9.852
2.7231000000610948 10.144
1.459060000255704 9.846
9.717610000167042 9.631
8.422580000013113 9.768
6.760870000347495 9.987
8.321690000128001 9.765
6.3037300002761185 9.987
4.219300000462681 10.228
0.3992900000885129 9.645
5.052240000106394 10.114
1.4342600000090897 9.731
0.8918300000950694 9.725
5.359889999963343 10.16
6.887030000332743 9.896
0.9138700002804399 9.731
9.359509999863803 9.552
9.642350000329316 9.704
7.049800000153482 9.896
2.748950000386685 10.011
1.9944700002670288 9.878
3.9102000002749264 10.211
7.11994000012055 9.898
5.42505000019446 10.125
1.6480700001120567 9.927
8.211290000472218 9.784
2.8653500000946224 10.24
5.448600000236183 10.058
5.92905000038445 9.97
8.42240000050515 9.75
9.352040000259876 9.615
5.8954500001855195 10.074
2.2377499998547137 10.26
0.39545000018551946 9.652
