days mag
4.9758700001984835 9.017
1.7671800004318357 8.782
2.961970000062138 8.842
2.631610000040382 8.792
6.687799999956042 9.15
7.678230000194162 10.254
5.533440000377595 9.158
0.9057200001552701 9.124
6.7845700001344085 9.203
6.882819999940693 9.224
6.669520000461489 9.256
3.489860000088811 8.938
0.7125300001353025 9.139
4.58943000016734 8.937
2.5103000001981854 8.808
2.859709999989718 8.848
1.5437700003385544 8.881
1.5684700002893806 8.851
7.609590000007302 9.335
3.7340000001713634 8.948
1.9484000001102686 8.806
0.6689200000837445 9.171
4.834230000153184 9.025
3.74656999995932 8.927
0.6826900001615286 9.068
2.7942900001071393 8.784
2.762620000168681 8.832
4.646810000296682 8.975
2.813150000292808 8.904
7.757540000136942 9.416
3.5263800001703203 8.889
4.629379999823868 8.956
1.6112900003790855 8.923
3.7261399999260902 8.902
3.704810000024736 8.919
6.811740000266582 9.258
7.885200000368059 9.395
0.6851400001905859 9.297
5.922050000168383 9.197
5.506800000090152 9.109
1.805810000281781 8.877
5.740110000129789 9.129
3.6518800002522767 8.89
2.831650000065565 8.826
0.6425000000745058 9.176
2.7029699999839067 8.811
1.66366000007838 8.817
4.789140000473708 8.969
4.9119500000961125 9.063
2.5662400000728667 8.807
4.735140000004321 8.919
5.71026000007987 9.154
4.908070000354201 9.395
1.9138700002804399 8.856
7.734470000024885 9.329
0.7547900001518428 9.801
1.742790000513196 8.848
2.6176200001500547 8.813
3.8010399998165667 8.943
7.838909999933094 9.335
2.865730000194162 8.886
6.944970000069588 9.248
5.615590000059456 9.057
6.814110000152141 9.233
1.9576500002294779 8.788
5.796860000118613 9.099
6.831500000320375 9.334
4.682970000430942 8.956
6.957350000273436 9.366
0.6042900001630187 9.086
3.8955799997784197 8.92
0.6299800002016127 9.174
3.6361200003884733 8.918
6.798420000355691 9.225
4.983829999808222 9.016
0.9856400000862777 9.105
6.6129499999806285 9.156
1.6130300001241267 8.863
6.96407000022009 9.538
2.8687900002114475 8.909
7.6868500001728535 9.413
5.575560000259429 9.067
1.5781700001098216 8.956
5.779550000093877 9.126
3.881539999973029 8.923
5.834610000252724 9.162
5.981000000145286 9.186
4.61710000038147 8.96
1.7284500002861023 8.874
2.6666100001893938 8.799
5.782870000228286 9.15
4.911500000394881 8.963
1.5676799998618662 8.88
3.763060000259429 8.896
0.6222000000998378 9.14
3.6168200001120567 8.889
5.614400000311434 9.076
5.914730000309646 9.16
7.713649999815971 9.355
7.755390000063926 9.321
0.5160800004377961 9.189
0.8609600001946092 9.086
5.556100000161678 9.137
7.637690000236034 9.403
6.603899999987334 9.23
0.4569600000977516 9.265
1.5610400000587106 8.908
7.747980000451207 9.312
2.012990000192076 8.864
5.603830000385642 9.748
2.8437000000849366 8.822
3.5766900004819036 8.85
5.624189999885857 9.068
5.720490000210702 9.128
3.662169999908656 8.945
0.6126700001768768 9.096
1.9461300005204976 8.883
6.683360000140965 9.267
2.6163200004957616 8.764
2.917220000177622 8.824
4.62176000000909 8.936
1.5256100003607571 8.922
2.5533600002527237 8.81
7.675290000159293 9.295
2.7592200003564358 9.216
6.84427999984473 9.306
6.9087800001725554 9.293
0.9600300001911819 9.102
7.8092900002375245 9.354
6.749120000284165 9.266
5.69128999998793 9.046
3.9445099998265505 8.922
4.522140000015497 8.955
1.5940800001844764 8.848
6.7724800002761185 9.236
4.536880000028759 8.908
6.679280000273138 9.257
2.5802100002765656 8.837
2.7814700002782047 8.775
6.4843199998140335 9.302
3.6365000000223517 8.913
5.686110000126064 9.142
2.769429999869317 8.85
7.515990000218153 9.325
6.8350499998778105 9.278
6.955690000206232 9.312
4.570869999937713 8.978
1.8054499998688698 8.784
0.8426400003954768 9.063
5.7858100002631545 9.129
0.8054700000211596 9.092
7.890610000118613 9.34
6.554800000041723 9.292
4.841870000120252 9.013
4.6288500004448 9.009
1.6896299999207258 8.813
1.8304900000803173 8.802
4.575940000358969 8.967
7.605659999884665 9.286
1.8933000001125038 8.852
7.613309999927878 9.261
7.888910000212491 9.353
2.6542700002901256 8.754
6.731110000051558 9.296
6.614730000495911 9.186
6.609259999822825 9.185
4.965369999874383 9.043
6.915310000069439 9.368
6.835360000375658 9.268
2.650870000012219 8.854
3.9800900002010167 8.893
4.700530000030994 9.047
4.8386699999682605 9.044
7.69980000006035 9.36
3.690790000371635 8.901
6.639750000555068 9.162
6.612230000086129 9.279
3.7668300000950694 8.899
