days mag
5.43354000011459 9.542
1.2697899998165667 9.937
4.720689999870956 9.491
2.482329999562353 10.037
0.38473999965935946 9.847
0.5046300003305078 9.937
1.609979999717325 10.029
3.7774899997748435 9.809
7.459979999810457 9.907
0.3581999996677041 9.776
0.6809499999508262 10.072
2.406789999920875 10.107
7.172669999767095 9.697
7.7817299999296665 9.833
3.6137299998663366 9.931
1.6384299998171628 10.096
3.2457300000824034 9.89
3.5718300002627075 9.77
2.5037800003774464 10.131
0.5337100001052022 9.812
4.230189999565482 9.474
5.465989999938756 9.562
2.520140000153333 9.952
5.596219999715686 9.661
7.342959999572486 9.665
5.617749999742955 9.589
4.300499999895692 9.58
0.26809999998658895 9.806
4.724839999806136 9.62
4.288049999624491 9.528
5.3915399997495115 9.638
7.7400499996729195 9.785
1.7527000000700355 10.165
4.285239999648184 9.491
3.4522100002504885 10.051
5.534879999700934 9.636
3.354449999984354 9.907
7.444409999996424 9.632
6.786439999938011 9.627
2.301210000179708 9.872
0.44889000011608005 9.876
1.5906000002287328 10.057
7.567989999894053 9.642
4.5252799997106194 9.585
0.5933099999092519 9.855
0.6604900001548231 9.805
3.246490000281483 9.817
7.598509999923408 9.951
3.4710300001315773 9.713
4.259529999922961 9.362
4.628530000336468 9.678
3.8255999996326864 10.059
1.3019199999980628 9.839
2.787139999680221 10.446
4.436449999921024 9.746
7.365079999901354 9.657
6.270719999913126 9.611
1.7542599998414516 10.062
3.3949699997901917 10.398
2.4962999997660518 10.017
4.127929999958724 9.449
7.312679999973625 9.678
0.5184599999338388 9.87
6.454870000015944 9.658
4.771900000050664 9.623
4.230200000107288 9.418
2.562340000178665 10.771
4.250749999657273 9.424
5.535620000213385 9.783
4.7273399997502565 9.804
6.744560000021011 9.688
5.373509999830276 9.6
5.738599999807775 9.602
1.253689999692142 9.834
0.7518299999646842 9.865
1.7184099997393787 10.056
4.45265999995172 9.492
2.372709999792278 10.035
5.7557000000961125 9.731
7.410840000025928 10.092
5.301940000150353 9.544
5.208899999968708 9.512
0.29817999992519617 9.796
7.388799999840558 9.73
3.599899999797344 9.78
3.6737600001506507 10.014
5.41509999986738 9.632
6.301399999763817 9.562
7.285649999976158 9.663
7.728469999972731 9.829
6.354470000136644 9.834
4.524879999924451 9.486
6.690009999554604 9.788
2.4696499998681247 10.224
5.460880000144243 9.683
3.2601000000722706 9.78
0.4313799999654293 9.791
7.5388799998909235 9.74
7.767200000118464 9.81
0.5791499996557832 9.877
5.7500299997627735 9.745
5.54302000021562 9.631
5.742220000363886 9.692
7.463599999900907 9.704
5.777879999950528 9.768
6.624749999959022 9.628
0.6577699999324977 9.829
3.3820799998939037 9.824
1.58218999998644 10.03
6.728510000277311 9.689
6.583889999892563 9.658
5.59368999954313 9.802
1.5642800000496209 9.948
7.432289999909699 9.727
1.49309999961406 9.977
3.483299999963492 9.799
3.5830299998633564 9.875
1.7665699999779463 10.254
4.516719999723136 9.598
6.2546299998648465 9.525
0.42955000000074506 9.795
3.3125999998301268 9.787
0.3113799998536706 9.693
