YYYY-MM-DDTHH:MM:SS mag mag_err zpt zpt_err
2023-01-17T17:25:04 10.14055 0.00297 23.279 0.006
2023-01-18T18:41:01 9.51357 0.00287 22.470 0.013
2023-01-24T18:14:23 9.63330 0.00229 23.102 0.010
2023-01-25T18:06:25 9.82990 0.00254 23.101 0.010
2023-02-13T18:40:31 9.68870 0.00261 22.838 0.010
2023-02-14T19:42:57 9.89689 0.00262 23.100 0.007
2023-03-04T22:28:15 9.68617 0.00304 22.527 0.014
2023-03-07T20:27:12 10.16129 0.00272 23.332 0.007
