days mag
4.716769999824464 8.416
0.560740000102669 8.523
3.8692000000737607 8.198
4.781389999669045 8.147
4.701929999515414 8.597
4.713750000111759 8.307
2.8231500000692904 8.06
1.5891399998217821 8.446
1.7730799997225404 8.43
3.7432099995203316 8.343
1.5667300000786781 8.741
4.827039999887347 8.284
2.5184800000861287 8.665
2.592219999525696 8.568
2.8366299998015165 8.497
3.6570999999530613 9.201
3.720139999873936 8.492
4.853720000013709 8.371
0.5713099995627999 8.652
4.684970000293106 8.439
3.5808299998752773 8.571
2.835529999807477 8.364
2.81218000035733 8.092
1.6433399999514222 8.568
3.8346899999305606 8.26
1.83665999956429 8.435
1.6929299999028444 8.489
2.507239999715239 8.579
3.586409999988973 8.428
3.8007899997755885 8.521
2.591529999859631 8.239
0.5233700000680983 8.717
0.7139099999330938 8.248
0.7092300001531839 9.165
0.5405099997296929 8.639
2.4683400001376867 8.768
0.7264300002716482 8.452
3.6946100001223385 8.229
1.7540299999527633 8.298
0.69164999993518 8.69
4.764979999978095 8.413
1.833149999845773 8.39
1.6327499998733401 8.601
4.716659999918193 8.459
1.7883600001223385 8.169
0.5517400000244379 8.483
3.6893699998036027 8.448
1.8037299998104572 8.292
0.79695999994874 8.271
3.6387100000865757 8.561
3.7557200002484024 8.428
3.769249999895692 8.433
2.6139299999922514 8.724
4.827779999934137 8.534
1.5959999999031425 8.25
0.6717499997466803 8.438
3.7579799997620285 8.279
2.6118800002150238 8.471
4.84300999995321 8.129
0.5005700001493096 8.558
4.754120000172406 8.585
1.4773399997502565 8.884
2.718660000246018 8.329
3.6339699998497963 8.274
3.609199999831617 9.137
1.5107499998994172 8.45
2.594269999768585 8.656
3.8214000002481043 8.463
1.7680600001476705 8.331
4.630300000309944 8.261
2.552709999959916 8.364
0.8570099999196827 8.332
2.881270000245422 8.428
3.859040000010282 8.1
4.826589999720454 8.332
3.581759999971837 8.432
2.7705999999307096 8.516
4.743879999965429 8.209
2.600369999650866 8.527
0.7508900002576411 8.582
3.7793600000441074 8.176
3.868999999947846 8.423
4.842729999683797 8.118
0.6446400000713766 8.228
2.57837999984622 8.549
4.77364999987185 8.471
3.5670299995690584 8.625
2.707440000027418 8.195
1.758459999691695 8.317
1.8383799996227026 8.227
2.9349899999797344 8.367
0.5481900000013411 8.327
1.8570500002242625 8.498
0.7919999998994172 8.248
0.6666099997237325 8.614
3.737359999679029 8.32
4.787269999738783 9.472
1.8631700002588332 8.244
4.846309999935329 8.49
1.5960099999792874 8.54
3.6899099997244775 8.23
3.6867800001055 8.222
1.7580599999055266 8.424
3.844909999985248 8.486
4.596829999703914 8.489
4.913550000172108 8.449
4.821849999949336 8.338
4.574709999840707 8.653
0.7852699998766184 8.426
1.5542299998924136 8.238
1.8327600001357496 8.631
2.54333999985829 8.895
3.6315300003625453 8.504
